(PDH-CSV 4.0) (India Standard Time)(-330),\\NCR-3M6OJM5HB98\.NET CLR Memory(StartSupv)\# Bytes in all Heaps,\\NCR-3M6OJM5HB98\Process(StartSupv)\Handle Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Private Bytes,\\NCR-3M6OJM5HB98\Process(StartSupv)\Thread Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Virtual Bytes,Byte In All Heaps ( In MB ),Private Bytes ( In MB ),Virual Bytes ( In MB )
08-06-18 20:30,14556912,3405,126382080,138,586637312,13.8825531,120.5273438,559.4609375
08-06-18 20:30,14556912,3402,126361600,137,585588736,13.8825531,120.5078125,558.4609375
08-06-18 20:30,14556912,3400,126341120,136,584540160,13.8825531,120.4882813,557.4609375
08-06-18 20:31,14564152,3390,126414848,135,583491584,13.8894577,120.5585938,556.4609375
08-06-18 20:31,14564152,3413,126500864,138,586637312,13.8894577,120.640625,559.4609375
08-06-18 20:31,14564152,3405,126451712,136,584540160,13.8894577,120.59375,557.4609375
08-06-18 20:31,14564152,3402,126459904,137,585588736,13.8894577,120.6015625,558.4609375
08-06-18 20:32,14564152,3399,126435328,136,584540160,13.8894577,120.578125,557.4609375
08-06-18 20:32,14558920,3412,126599168,140,587948032,13.88446808,120.734375,560.7109375
08-06-18 20:32,14565908,3413,126562304,139,587685888,13.89113235,120.6992188,560.4609375
08-06-18 20:32,14568940,3412,126525440,137,585588736,13.8940239,120.6640625,558.4609375
08-06-18 20:33,14568940,3404,126476288,135,583491584,13.8940239,120.6171875,556.4609375
08-06-18 20:33,14568940,3406,126513152,137,585588736,13.8940239,120.6523438,558.4609375
08-06-18 20:33,14568940,3406,126509056,137,585588736,13.8940239,120.6484375,558.4609375
08-06-18 20:33,14568940,3406,126513152,137,585588736,13.8940239,120.6523438,558.4609375
08-06-18 20:34,14568940,3404,126492672,136,584540160,13.8940239,120.6328125,557.4609375
08-06-18 20:34,14568940,3409,126513152,137,585588736,13.8940239,120.6523438,558.4609375
08-06-18 20:34,14568940,3407,126476288,135,583491584,13.8940239,120.6171875,556.4609375
08-06-18 20:34,13583852,3343,126459904,135,583753728,12.95457077,120.6015625,556.7109375
08-06-18 20:35,13583852,3335,126423040,133,581656576,12.95457077,120.5664063,554.7109375
08-06-18 20:35,13583852,3340,126439424,134,582705152,12.95457077,120.5820313,555.7109375
08-06-18 20:35,13583852,3340,126472192,134,582705152,12.95457077,120.6132813,555.7109375
08-06-18 20:35,13583852,3340,126488576,135,583753728,12.95457077,120.6289063,556.7109375
08-06-18 20:36,13583852,3337,126472192,134,582705152,12.95457077,120.6132813,555.7109375
08-06-18 20:36,13583852,3342,126488576,135,583753728,12.95457077,120.6289063,556.7109375
08-06-18 20:36,13583852,3342,126488576,135,583753728,12.95457077,120.6289063,556.7109375
08-06-18 20:36,13583852,3342,126492672,135,583753728,12.95457077,120.6328125,556.7109375
08-06-18 20:37,13583852,3334,126468096,134,582705152,12.95457077,120.609375,555.7109375
08-06-18 20:37,13583852,3339,126492672,135,583753728,12.95457077,120.6328125,556.7109375
08-06-18 20:37,13583852,3339,126492672,135,583753728,12.95457077,120.6328125,556.7109375
08-06-18 20:37,13583852,3339,126484480,135,583753728,12.95457077,120.625,556.7109375
08-06-18 20:38,13583852,3334,126472192,134,582705152,12.95457077,120.6132813,555.7109375
08-06-18 20:38,13583852,3339,126472192,134,582705152,12.95457077,120.6132813,555.7109375
08-06-18 20:38,13583852,3339,126472192,134,582705152,12.95457077,120.6132813,555.7109375
08-06-18 20:38,13583852,3339,126476288,134,582705152,12.95457077,120.6171875,555.7109375
08-06-18 20:39,13583852,3335,126472192,134,582705152,12.95457077,120.6132813,555.7109375
08-06-18 20:39,13583852,3340,126492672,135,583753728,12.95457077,120.6328125,556.7109375
08-06-18 20:39,14541848,3334,127385600,135,582967296,13.86818695,121.484375,555.9609375
08-06-18 20:39,14541848,3334,127385600,135,582967296,13.86818695,121.484375,555.9609375
08-06-18 20:40,14541848,3329,127365120,134,581918720,13.86818695,121.4648438,554.9609375
08-06-18 20:40,14541848,3334,127369216,134,581918720,13.86818695,121.46875,554.9609375
08-06-18 20:40,14541848,3334,127365120,134,581918720,13.86818695,121.4648438,554.9609375
08-06-18 20:40,14541848,3334,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:41,14541848,3329,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:41,14541848,3334,127393792,135,582967296,13.86818695,121.4921875,555.9609375
08-06-18 20:41,14541848,3334,127393792,135,582967296,13.86818695,121.4921875,555.9609375
08-06-18 20:41,14541848,3334,127393792,135,582967296,13.86818695,121.4921875,555.9609375
08-06-18 20:42,14541848,3329,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:42,14541848,3334,127377408,134,581918720,13.86818695,121.4765625,554.9609375
