(PDH-CSV 4.0) (India Standard Time)(-330),\\HYD-GOLCONDA\.NET CLR Memory(NCR.APTRA.CnsmrAppActivateEnterprise)\# Bytes in all Heaps,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Handle Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Private Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Thread Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Virtual Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Working Set - Private
03-01-19 13:03,26358132,4458,355966976,204,1260052480,286511104
03-01-19 13:03,26358132,4442,355319808,196,1249566720,286179328
03-01-19 13:03,26569440,4436,355373056,197,1251663872,286212096
03-01-19 13:03,26569440,4434,355708928,191,1243013120,286814208
03-01-19 13:03,26569440,4462,355663872,190,1242488832,286789632
03-01-19 13:03,27710220,4443,355807232,192,1244323840,286851072
03-01-19 13:03,27710220,4481,357109760,192,1244323840,287113216
03-01-19 13:03,29258200,4438,356593664,193,1245634560,286527488
03-01-19 13:03,27982988,4504,357146624,197,1250877440,287141888
03-01-19 13:03,28359448,4496,357441536,198,1252188160,287375360
