Session, Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
286,2018-09-24T14:35:36.671,1748181000,790003700,100390900,5564,267
287,2018-09-24T14:36:36.476,1752154000,797880300,101779400,5580,267
288,2018-09-24T14:37:35.711,1736770000,783618000,102152800,5514,258
289,2018-09-24T14:38:34.550,1747263000,794234900,103183200,5587,266
290,2018-09-24T14:39:31.076,1747460000,786841600,99902820,5559,265
291,2018-09-24T14:40:32.257,1770795000,819855400,100567100,5622,275
292,2018-09-24T14:41:27.606,1747489000,790577200,102086900,5569,267
293,2018-09-24T14:42:27.602,1732215000,771588100,101896400,5492,256
294,2018-09-24T15:20:42.081,1748484000,792461300,101772400,5557,267
295,2018-09-24T15:21:41.147,1750155000,797524000,102321400,5565,268
296,2018-09-24T15:22:39.305,1736024000,777273300,101219300,5491,256
297,2018-09-24T15:23:32.578,1748058000,793104400,101304100,5564,265
298,2018-09-24T15:24:28.797,1750147000,801263600,101995400,5570,264
299,2018-09-24T15:25:29.472,1747132000,790720500,100102400,5555,264
300,2018-09-24T15:26:24.876,1758323000,797073400,100784600,5657,268
301,2018-09-24T15:27:18.978,1753498000,800518100,102043200,5586,267
302,2018-09-24T15:28:13.064,1752842000,799088600,103250900,5597,266
303,2018-09-24T15:29:15.654,1736147000,793989100,103489200,5575,258
304,2018-09-24T15:31:55.749,1745617000,796966900,103563200,5481,264
