(PDH-CSV 4.0) (Eastern Standard Time)(300),\\NCR-R20NI8BA19J\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,Sl.No.
09-11-18 47:00,34537072,4093,153681920,205,737652736,229
09-11-18 52:00,34537072,4092,153661440,204,735817728,230
09-11-18 57:00,34537072,4097,153649152,203,735555584,231
09-11-18 02:00,34537072,4097,153649152,203,735555584,232
09-11-18 07:00,34537072,4098,153665536,204,735817728,233
09-11-18 12:00,35007212,4072,153325568,202,733712384,234
09-11-18 17:00,35007212,4095,153366528,204,735817728,235
09-11-18 22:00,35007212,4094,153255936,203,735555584,236
09-11-18 27:00,35007212,4095,153366528,204,735817728,237
09-11-18 32:00,35007212,4089,153329664,202,734507008,238
09-11-18 37:00,35007212,4095,153350144,203,735555584,239
09-11-18 42:00,35007212,4094,153350144,203,735555584,240
09-11-18 47:00,35007212,4094,152965120,203,735555584,241
09-11-18 52:00,35007212,4092,153346048,203,734769152,242
09-11-18 57:00,35007212,4095,153337856,203,734769152,243
09-11-18 02:00,35007212,4095,153354240,204,735817728,244
09-11-18 07:00,35007212,4077,153239552,203,734760960,245
09-11-18 12:00,35007212,4090,153337856,203,734769152,246
09-11-18 17:00,35007212,4093,153317376,202,734507008,247
09-11-18 22:00,35007212,4093,153321472,202,734507008,248
09-11-18 27:00,35007212,4093,153321472,202,734507008,249
09-11-18 32:00,35007212,4088,152924160,201,733523968,250
09-11-18 37:00,35007212,4094,153346048,203,734834688,251
09-11-18 42:00,35007212,4094,153354240,203,734834688,252
09-11-18 47:00,35007212,4094,153370624,204,735883264,253
09-11-18 52:00,35279820,4086,153354240,203,734834688,254
09-11-18 57:00,35279820,4091,153358336,203,735621120,255
09-11-18 02:00,35279820,4091,153358336,203,735621120,256
09-11-18 07:00,35279820,4092,153362432,203,735621120,257
09-11-18 12:00,35279820,4083,152969216,201,733523968,258
09-11-18 17:00,35279820,4088,152969216,203,735621120,259
09-11-18 22:00,35279820,4089,153370624,204,735883264,260
09-11-18 27:00,35279820,4089,153374720,204,735883264,261
09-11-18 32:00,35279820,4084,153354240,203,734834688,262
09-11-18 37:00,35279820,4091,153374720,204,735883264,263
09-11-18 42:00,35279820,4090,153358336,203,735621120,264
09-11-18 47:00,35279820,4091,153034752,203,735621120,265
09-11-18 52:00,35279820,4088,153366528,203,734834688,266
09-11-18 57:00,35279820,4093,153018368,203,735621120,267
09-11-18 02:00,35279820,4093,153276416,203,735621120,268
09-11-18 07:00,35279820,4094,153387008,204,735883264,269
